event	original_label	abstractness_combination	rating	majority_multiclass	distribution_multiclass	majority_binary	distribution_binary
option robs accusation	implausible	a-c-a	[4, 4, 4, 4, 1, 2, 5, 1, 4]	unsure	[22.22222222222222, 11.11111111111111, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
orator internalizes effect	implausible	m-a-a	[2, 5, 5, 4, 4, 5, 4, 4, 4, 5]	unsure	[0.0, 10.0, 50.0, 40.0]	1	[90.0, 10.0]
orchid extinguishes integration	implausible	c-c-a	[4, 4, 2, 1, 5, 2, 4, 5]	unsure	[12.5, 25.0, 37.5, 25.0]	unsure	[62.5, 37.5]
orchid holds salmon	implausible	c-c-c	[5, 2, 4, 5, 5, 4, 1, 2]	unsure	[12.5, 25.0, 25.0, 37.5]	unsure	[62.5, 37.5]
ordination withholds taboo	implausible	a-m-a	[1, 1, 5, 2, 1, 5, 4, 1, 4]	unsure	[44.44444444444444, 11.11111111111111, 22.22222222222222, 22.22222222222222]	unsure	[44.44444444444444, 55.55555555555556]
organ builds withdrawal	implausible	c-c-a	[4, 1, 2, 2, 4, 2, 4, 2, 4, 4]	unsure	[10.0, 40.0, 50.0, 0.0]	unsure	[50.0, 50.0]
outcome presides part	implausible	a-a-m	[1, 1, 2, 1, 4, 1, 4, 1, 2, 2]	unsure	[50.0, 30.0, 20.0, 0.0]	0	[20.0, 80.0]
outsider introduces desire	implausible	a-m-a	[4, 4, 2, 4, 5, 5, 5, 4]	unsure	[0.0, 12.5, 50.0, 37.5]	1	[87.5, 12.5]
overtone demonstrates comma	implausible	a-m-c	[4, 5, 4, 1, 5, 5, 2, 4, 4]	unsure	[11.11111111111111, 11.11111111111111, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
owner sets adaptation	implausible	m-c-a	[4, 4, 1, 2, 5, 4, 5, 4, 4]	unsure	[11.11111111111111, 11.11111111111111, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
ozone stabs water	implausible	m-c-c	[4, 1, 1, 5, 4, 5, 1, 4, 5]	unsure	[33.33333333333333, 0.0, 33.33333333333333, 33.33333333333333]	unsure	[66.66666666666666, 33.33333333333333]
pacification shines consciousness	implausible	a-c-a	[5, 1, 4, 1, 4, 5, 4, 2]	unsure	[25.0, 12.5, 37.5, 25.0]	unsure	[62.5, 37.5]
page instigates container	implausible	c-a-c	[4, 5, 1, 1, 4, 2, 1, 2, 5]	unsure	[33.33333333333333, 22.22222222222222, 22.22222222222222, 22.22222222222222]	unsure	[44.44444444444444, 55.55555555555556]
pair pronounces validation	implausible	m-m-a	[5, 4, 5, 5, 5, 4, 4, 4, 2]	unsure	[0.0, 11.11111111111111, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
paper repossesses variety	implausible	c-m-a	[2, 4, 4, 4, 4, 2, 4, 2, 5]	unsure	[0.0, 33.33333333333333, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
paper upends tranquility	implausible	c-m-a	[4, 4, 5, 1, 2, 5, 5, 4, 5, 4]	unsure	[10.0, 10.0, 40.0, 40.0]	1	[80.0, 20.0]
paradox builds body	implausible	a-c-c	[1, 2, 5, 1, 5, 1, 1, 4, 4]	unsure	[44.44444444444444, 11.11111111111111, 22.22222222222222, 22.22222222222222]	unsure	[44.44444444444444, 55.55555555555556]
paradox rotates tour	implausible	a-c-m	[4, 4, 2, 4, 2, 2, 4, 2, 4]	unsure	[0.0, 44.44444444444444, 55.55555555555556, 0.0]	unsure	[55.55555555555556, 44.44444444444444]
parameter needs instinct	implausible	a-a-a	[1, 5, 4, 2, 4, 4, 2, 5, 4]	unsure	[11.11111111111111, 22.22222222222222, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
parish reworks stash	implausible	m-m-m	[5, 5, 2, 4, 4, 2, 5, 4, 5, 4]	unsure	[0.0, 20.0, 40.0, 40.0]	1	[80.0, 20.0]
park smashes effort	implausible	c-c-a	[2, 2, 1, 1, 4, 1, 4, 2, 5]	unsure	[33.33333333333333, 33.33333333333333, 22.22222222222222, 11.11111111111111]	unsure	[33.33333333333333, 66.66666666666666]
parka shows hardship	implausible	c-c-a	[5, 5, 2, 2, 5, 5, 5, 5, 2]	unsure	[0.0, 33.33333333333333, 0.0, 66.66666666666666]	unsure	[66.66666666666666, 33.33333333333333]
parliament enunciates precaution	implausible	m-m-a	[4, 2, 5, 4, 1, 4, 5, 5, 4]	unsure	[11.11111111111111, 11.11111111111111, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
party unfolds suitor	implausible	m-c-m	[4, 2, 5, 4, 2, 1, 4, 5, 5]	unsure	[11.11111111111111, 22.22222222222222, 33.33333333333333, 33.33333333333333]	unsure	[66.66666666666666, 33.33333333333333]
patient readdresses plant	implausible	a-a-c	[2, 4, 4, 4, 5, 1, 5, 4]	unsure	[12.5, 12.5, 50.0, 25.0]	1	[75.0, 25.0]
pattern decides year	implausible	m-a-m	[4, 1, 4, 2, 4, 4, 5, 1, 4]	unsure	[22.22222222222222, 11.11111111111111, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
payback assumes ship	implausible	a-a-c	[4, 4, 5, 2, 4, 1, 2, 4, 5, 5]	unsure	[10.0, 20.0, 40.0, 30.0]	1	[70.0, 30.0]
payload lives blowout	implausible	m-c-m	[5, 4, 1, 2, 2, 1, 4, 4]	unsure	[25.0, 25.0, 37.5, 12.5]	unsure	[50.0, 50.0]
payment organizes form	implausible	m-m-m	[4, 5, 5, 4, 4, 2, 2, 1]	unsure	[12.5, 25.0, 37.5, 25.0]	unsure	[62.5, 37.5]
pelican recalls hill	implausible	c-a-c	[4, 1, 5, 5, 1, 4, 4, 1]	unsure	[37.5, 0.0, 37.5, 25.0]	unsure	[62.5, 37.5]
pencil hones amnesty	implausible	c-m-a	[4, 4, 1, 2, 1, 2, 5, 4]	unsure	[25.0, 25.0, 37.5, 12.5]	unsure	[50.0, 50.0]
pencil puts norm	implausible	c-m-a	[1, 5, 1, 1, 2, 1, 2, 4, 5]	unsure	[44.44444444444444, 22.22222222222222, 11.11111111111111, 22.22222222222222]	unsure	[33.33333333333333, 66.66666666666666]
person anticipate famine	implausible	c-a-m	[5, 5, 4, 4, 2, 1, 4, 1, 4, 4]	unsure	[20.0, 10.0, 50.0, 20.0]	1	[70.0, 30.0]
person crisscross pole	implausible	c-c-c	[5, 2, 1, 4, 1, 4, 4, 2, 2, 1]	unsure	[30.0, 30.0, 30.0, 10.0]	unsure	[40.0, 60.0]
person despise dozen	implausible	c-a-c	[5, 5, 2, 5, 4, 5, 1, 4, 1, 2]	unsure	[20.0, 20.0, 20.0, 40.0]	unsure	[60.0, 40.0]
person imitate galaxy	implausible	c-m-m	[4, 5, 4, 1, 4, 4, 2, 5, 5, 4]	unsure	[10.0, 10.0, 50.0, 30.0]	1	[80.0, 20.0]
person rediscover tablespoon	implausible	c-a-c	[2, 4, 1, 4, 5, 2, 2, 2]	unsure	[12.5, 50.0, 25.0, 12.5]	unsure	[37.5, 62.5]
pharmacist defines footage	implausible	m-a-m	[4, 5, 2, 4, 1, 4, 5, 4]	unsure	[12.5, 12.5, 50.0, 25.0]	1	[75.0, 25.0]
phase fertilizes gold	implausible	a-c-c	[4, 5, 2, 4, 2, 2, 5, 1, 4]	unsure	[11.11111111111111, 33.33333333333333, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
phase obeys goat	implausible	a-m-c	[4, 4, 2, 1, 2, 1, 4, 4, 1, 1]	unsure	[40.0, 20.0, 40.0, 0.0]	unsure	[40.0, 60.0]
phenomenon denotes corn	implausible	a-a-c	[1, 1, 1, 5, 1, 1, 5, 1]	unsure	[75.0, 0.0, 0.0, 25.0]	0	[25.0, 75.0]
photograph rewrites bank	implausible	c-c-c	[1, 1, 4, 1, 4, 4, 4, 2, 1, 2]	unsure	[40.0, 20.0, 40.0, 0.0]	unsure	[40.0, 60.0]
photograph says cushion	implausible	c-m-c	[2, 4, 5, 5, 1, 1, 1, 1]	unsure	[50.0, 12.5, 12.5, 25.0]	unsure	[37.5, 62.5]
photograph scuttles recording	implausible	c-c-m	[5, 5, 5, 4, 5, 4, 4, 4, 2, 4]	unsure	[0.0, 10.0, 50.0, 40.0]	1	[90.0, 10.0]
physique formalizes yard	implausible	m-a-c	[4, 1, 4, 4, 4, 1, 1, 5]	unsure	[37.5, 0.0, 50.0, 12.5]	unsure	[62.5, 37.5]
pie lure church	implausible	c-c-c	[4, 4, 4, 4, 4, 1, 2, 2, 2]	unsure	[11.11111111111111, 33.33333333333333, 55.55555555555556, 0.0]	unsure	[55.55555555555556, 44.44444444444444]
pilot nullifies bee	implausible	c-a-c	[4, 2, 4, 5, 4, 4, 1, 5]	unsure	[12.5, 12.5, 50.0, 25.0]	1	[75.0, 25.0]
pirate enunciates anniversary	implausible	c-m-m	[1, 5, 4, 4, 1, 4, 4, 5, 2]	unsure	[22.22222222222222, 11.11111111111111, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
piston shows suffrage	implausible	c-c-a	[1, 5, 4, 4, 4, 4, 4, 4, 5]	unsure	[11.11111111111111, 0.0, 66.66666666666666, 22.22222222222222]	1	[88.88888888888889, 11.11111111111111]
pit contains kidnapping	implausible	c-m-m	[4, 1, 4, 4, 4, 5, 2, 2]	unsure	[12.5, 25.0, 50.0, 12.5]	unsure	[62.5, 37.5]
pitch litigates bicycle	implausible	m-m-c	[1, 1, 4, 1, 2, 5, 4, 2]	unsure	[37.5, 25.0, 25.0, 12.5]	unsure	[37.5, 62.5]
pitcher obligates story	implausible	c-a-m	[4, 4, 2, 2, 2, 4, 4, 5, 4, 5]	unsure	[0.0, 30.0, 50.0, 20.0]	1	[70.0, 30.0]
plaintiff ascends disadvantage	implausible	m-m-a	[5, 5, 4, 1, 1, 2, 4, 4]	unsure	[25.0, 12.5, 37.5, 25.0]	unsure	[62.5, 37.5]
plane creates shower	implausible	c-m-c	[5, 1, 1, 4, 5, 1, 1, 1, 4]	unsure	[55.55555555555556, 0.0, 22.22222222222222, 22.22222222222222]	unsure	[44.44444444444444, 55.55555555555556]
plate owes friendship	implausible	c-a-a	[1, 4, 1, 4, 5, 5, 1, 1]	unsure	[50.0, 0.0, 25.0, 25.0]	unsure	[50.0, 50.0]
plea infests range	implausible	a-m-m	[1, 1, 1, 2, 4, 5, 4, 1, 4]	unsure	[44.44444444444444, 11.11111111111111, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
plea understates year	implausible	a-a-m	[4, 4, 1, 2, 4, 4, 2, 4, 4]	unsure	[11.11111111111111, 22.22222222222222, 66.66666666666666, 0.0]	unsure	[66.66666666666666, 33.33333333333333]
plurality describes idol	implausible	a-a-m	[4, 1, 1, 4, 4, 2, 4, 1]	unsure	[37.5, 12.5, 50.0, 0.0]	unsure	[50.0, 50.0]
poetry binds attention	implausible	m-c-a	[5, 4, 4, 5, 5, 1, 4, 5]	unsure	[12.5, 0.0, 37.5, 50.0]	1	[87.5, 12.5]
poetry wishes limestone	implausible	m-a-c	[5, 4, 1, 4, 4, 4, 2, 1, 4]	unsure	[22.22222222222222, 11.11111111111111, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
police alienate compensation	implausible	c-a-m	[4, 4, 5, 5, 1, 4, 1, 5, 1]	unsure	[33.33333333333333, 0.0, 33.33333333333333, 33.33333333333333]	unsure	[66.66666666666666, 33.33333333333333]
police render spider	implausible	c-a-c	[4, 1, 4, 1, 4, 1, 5, 4, 4, 1]	unsure	[40.0, 0.0, 50.0, 10.0]	unsure	[60.0, 40.0]
population extracts animation	implausible	m-c-m	[2, 2, 4, 4, 4, 5, 4, 5, 4, 1, 5]	unsure	[9.090909090909092, 18.181818181818183, 45.45454545454545, 27.27272727272727]	1	[72.72727272727273, 27.27272727272727]
portion asserts equity	implausible	m-a-a	[4, 5, 4, 4, 4, 5, 5, 2, 4]	unsure	[0.0, 11.11111111111111, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
portrait lays marble	implausible	c-c-c	[4, 4, 5, 2, 1, 2, 5, 2, 4]	unsure	[11.11111111111111, 33.33333333333333, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
position hoists flesh	implausible	a-c-c	[4, 5, 1, 5, 5, 4, 1, 5, 4, 2]	unsure	[20.0, 10.0, 30.0, 40.0]	1	[70.0, 30.0]
position imitates hometown	implausible	a-m-m	[2, 5, 2, 1, 2, 2, 1, 4, 4]	unsure	[22.22222222222222, 44.44444444444444, 22.22222222222222, 11.11111111111111]	unsure	[33.33333333333333, 66.66666666666666]
poster streamlines inning	implausible	c-m-m	[5, 4, 5, 4, 1, 4, 5, 1, 1]	unsure	[33.33333333333333, 0.0, 33.33333333333333, 33.33333333333333]	unsure	[66.66666666666666, 33.33333333333333]
posterity conducts origin	implausible	a-a-a	[4, 5, 4, 5, 4, 4, 4, 4]	unsure	[0.0, 0.0, 75.0, 25.0]	1	[100.0, 0.0]
postman overestimates star	implausible	c-a-c	[2, 2, 2, 1, 5, 4, 4, 2, 4]	unsure	[11.11111111111111, 44.44444444444444, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
precursor praises modernization	implausible	a-m-a	[4, 1, 5, 5, 5, 4, 5, 2, 5]	unsure	[11.11111111111111, 11.11111111111111, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
precursor runs election	implausible	a-c-m	[4, 5, 5, 1, 2, 5, 2, 5]	unsure	[12.5, 25.0, 12.5, 50.0]	unsure	[62.5, 37.5]
presence impresses rearrangement	implausible	a-a-m	[4, 5, 1, 2, 4, 4, 1, 4, 4]	unsure	[22.22222222222222, 11.11111111111111, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
presidency itemizes subject	implausible	m-m-m	[4, 4, 4, 2, 2, 4, 4, 5, 5]	unsure	[0.0, 22.22222222222222, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
presidency justifies impropriety	implausible	m-a-a	[4, 4, 5, 5, 4, 4, 2, 4]	unsure	[0.0, 12.5, 62.5, 25.0]	1	[87.5, 12.5]
press decreases activism	implausible	m-m-a	[1, 4, 4, 4, 2, 4, 2, 4]	unsure	[12.5, 25.0, 62.5, 0.0]	unsure	[62.5, 37.5]
press guarantees man	implausible	m-a-c	[2, 4, 2, 4, 5, 1, 5, 1]	unsure	[25.0, 25.0, 25.0, 25.0]	unsure	[50.0, 50.0]
press shakes rent	implausible	m-c-m	[2, 4, 1, 5, 1, 5, 1, 2]	unsure	[37.5, 25.0, 12.5, 25.0]	unsure	[37.5, 62.5]
princess creates health	implausible	c-m-a	[1, 4, 4, 4, 1, 5, 4, 1, 2, 4]	unsure	[30.0, 10.0, 50.0, 10.0]	unsure	[60.0, 40.0]
principle constrains wool	implausible	a-m-c	[4, 4, 4, 4, 4, 4, 1, 4, 1]	unsure	[22.22222222222222, 0.0, 77.77777777777779, 0.0]	1	[77.77777777777779, 22.22222222222222]
principle wins closeness	implausible	a-m-a	[4, 1, 4, 2, 4, 5, 4, 4]	unsure	[12.5, 12.5, 62.5, 12.5]	1	[75.0, 25.0]
prison correlates plot	implausible	c-a-m	[1, 2, 1, 2, 2, 1, 5, 5, 5, 2]	unsure	[30.0, 40.0, 0.0, 30.0]	0	[30.0, 70.0]
privateer forbids variety	implausible	m-a-a	[4, 2, 5, 4, 4, 5, 5, 5]	unsure	[0.0, 12.5, 37.5, 50.0]	1	[87.5, 12.5]
probe disables soul	implausible	m-c-a	[1, 5, 1, 5, 2, 5, 1, 1, 4, 1, 4]	unsure	[45.45454545454545, 9.090909090909092, 18.181818181818183, 27.27272727272727]	unsure	[45.45454545454545, 54.54545454545454]
probe distorts taker	implausible	m-m-a	[1, 1, 4, 4, 5, 4, 1, 1, 2]	unsure	[44.44444444444444, 11.11111111111111, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
proficiency stifles ripple	implausible	a-m-m	[2, 4, 2, 2, 2, 4, 4, 1]	unsure	[12.5, 50.0, 37.5, 0.0]	unsure	[37.5, 62.5]
program slams loincloth	implausible	m-c-c	[1, 1, 4, 2, 1, 1, 2, 4, 4]	unsure	[44.44444444444444, 22.22222222222222, 33.33333333333333, 0.0]	unsure	[33.33333333333333, 66.66666666666666]
project works aesthetic	implausible	m-c-a	[5, 4, 5, 4, 1, 4, 4, 5, 1]	unsure	[22.22222222222222, 0.0, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
proliferation surmounts dignity	implausible	a-a-a	[5, 5, 1, 4, 4, 4, 5, 4, 5, 1]	unsure	[20.0, 0.0, 40.0, 40.0]	1	[80.0, 20.0]
pronunciation upends lover	implausible	a-m-m	[4, 1, 4, 1, 4, 2, 5, 5, 1]	unsure	[33.33333333333333, 11.11111111111111, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
property straightens earth	implausible	m-c-c	[1, 4, 1, 4, 4, 4, 5, 5, 1, 1]	unsure	[40.0, 0.0, 40.0, 20.0]	unsure	[60.0, 40.0]
prosecution excludes place	implausible	a-m-m	[1, 2, 4, 5, 2, 5, 1, 4]	unsure	[25.0, 25.0, 25.0, 25.0]	unsure	[50.0, 50.0]
protester formulates anteater	implausible	m-m-c	[1, 4, 4, 5, 1, 1, 1, 4, 2]	unsure	[44.44444444444444, 11.11111111111111, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
provision categorizes toilet	implausible	a-m-c	[5, 4, 5, 4, 4, 2, 1, 2]	unsure	[12.5, 25.0, 37.5, 25.0]	unsure	[62.5, 37.5]
psychology hypnotizes handbag	implausible	a-m-c	[5, 5, 2, 4, 4, 1, 1, 5, 5]	unsure	[22.22222222222222, 11.11111111111111, 22.22222222222222, 44.44444444444444]	unsure	[66.66666666666666, 33.33333333333333]
purist shakes quality	implausible	a-c-a	[4, 2, 4, 5, 5, 5, 4, 4]	unsure	[0.0, 12.5, 50.0, 37.5]	1	[87.5, 12.5]
race reclaims poncho	implausible	m-a-c	[1, 2, 4, 1, 1, 1, 5, 2, 4, 4]	unsure	[40.0, 20.0, 30.0, 10.0]	unsure	[40.0, 60.0]
radio yells daughter	implausible	c-c-c	[4, 5, 1, 1, 1, 2, 2, 2, 2, 2]	unsure	[30.0, 50.0, 10.0, 10.0]	0	[20.0, 80.0]
rafter accentuates tranquility	implausible	c-a-a	[4, 2, 5, 4, 4, 4, 4, 1, 5, 4]	unsure	[10.0, 10.0, 60.0, 20.0]	1	[80.0, 20.0]
rain breaks belly	implausible	c-c-c	[1, 2, 4, 2, 4, 1, 2, 4, 5, 5]	unsure	[20.0, 30.0, 30.0, 20.0]	unsure	[50.0, 50.0]
rainfall juggles suggestion	implausible	c-c-a	[1, 4, 5, 4, 2, 2, 4, 5, 4]	unsure	[11.11111111111111, 22.22222222222222, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
rainstorm disagrees scandal	implausible	c-m-a	[5, 1, 4, 1, 1, 4, 5, 2]	unsure	[37.5, 12.5, 25.0, 25.0]	unsure	[50.0, 50.0]
ramp diminishes almond	implausible	c-m-c	[2, 5, 4, 4, 4, 4, 1, 4, 5]	unsure	[11.11111111111111, 11.11111111111111, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
ranch awakens funding	implausible	c-c-m	[4, 4, 1, 4, 4, 2, 2, 4, 4]	unsure	[11.11111111111111, 22.22222222222222, 66.66666666666666, 0.0]	unsure	[66.66666666666666, 33.33333333333333]
ranch yells bike	implausible	c-c-c	[4, 2, 1, 4, 4, 4, 4, 1, 4]	unsure	[22.22222222222222, 11.11111111111111, 66.66666666666666, 0.0]	unsure	[66.66666666666666, 33.33333333333333]
rate destabilizes workforce	implausible	a-a-m	[4, 5, 5, 4, 5, 1, 4, 5, 2, 4]	unsure	[10.0, 10.0, 40.0, 40.0]	1	[80.0, 20.0]
rate walks fleet	implausible	a-c-m	[4, 4, 1, 4, 4, 1, 1, 4, 4]	unsure	[33.33333333333333, 0.0, 66.66666666666666, 0.0]	unsure	[66.66666666666666, 33.33333333333333]
realism accommodates entry	implausible	a-a-m	[2, 5, 4, 2, 5, 4, 4, 1, 4, 1]	unsure	[20.0, 20.0, 40.0, 20.0]	unsure	[60.0, 40.0]
realism overpowers alignment	implausible	a-m-m	[5, 5, 5, 4, 4, 4, 2, 4]	unsure	[0.0, 12.5, 50.0, 37.5]	1	[87.5, 12.5]
realist resumes subjugation	implausible	a-c-a	[1, 4, 5, 1, 4, 4, 4, 4, 2, 4]	unsure	[20.0, 10.0, 60.0, 10.0]	1	[70.0, 30.0]
reason commits arch	implausible	a-a-c	[1, 4, 4, 2, 1, 1, 1, 4, 4]	unsure	[44.44444444444444, 11.11111111111111, 44.44444444444444, 0.0]	unsure	[44.44444444444444, 55.55555555555556]
rebound straddles museum	implausible	a-c-c	[2, 4, 2, 5, 1, 2, 1, 4]	unsure	[25.0, 37.5, 25.0, 12.5]	unsure	[37.5, 62.5]
recording negates anaconda	implausible	m-a-c	[2, 4, 1, 5, 2, 5, 5, 2]	unsure	[12.5, 37.5, 12.5, 37.5]	unsure	[50.0, 50.0]
refinement reverts thing	implausible	a-a-m	[4, 5, 2, 4, 4, 5, 5, 4, 1, 4]	unsure	[10.0, 10.0, 50.0, 30.0]	1	[80.0, 20.0]
regulation condemns range	implausible	a-a-m	[4, 4, 1, 4, 4, 4, 4, 4]	unsure	[12.5, 0.0, 87.5, 0.0]	1	[87.5, 12.5]
rehabilitation considers lip	implausible	a-a-c	[4, 1, 1, 5, 1, 2, 1, 1, 4]	unsure	[55.55555555555556, 11.11111111111111, 22.22222222222222, 11.11111111111111]	unsure	[33.33333333333333, 66.66666666666666]
reign spreads power	implausible	a-c-a	[4, 5, 5, 4, 4, 4, 5, 4, 5]	unsure	[0.0, 0.0, 55.55555555555556, 44.44444444444444]	1	[100.0, 0.0]
relation encodes hemlock	implausible	a-m-c	[5, 1, 4, 5, 5, 4, 4, 2, 5]	unsure	[11.11111111111111, 11.11111111111111, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
reorganization sews sauce	implausible	a-c-c	[1, 1, 4, 2, 4, 2, 1, 5, 2, 4]	unsure	[30.0, 30.0, 30.0, 10.0]	unsure	[40.0, 60.0]
reorganization signifies door	implausible	a-a-c	[1, 5, 1, 5, 4, 2, 5, 2, 4, 1]	unsure	[30.0, 20.0, 20.0, 30.0]	unsure	[50.0, 50.0]
replica stiffens house	implausible	m-c-c	[2, 2, 2, 1, 4, 5, 4, 5]	unsure	[12.5, 37.5, 25.0, 25.0]	unsure	[50.0, 50.0]
report binds establishment	implausible	m-c-m	[4, 2, 5, 1, 5, 2, 4, 4, 5]	unsure	[11.11111111111111, 22.22222222222222, 33.33333333333333, 33.33333333333333]	unsure	[66.66666666666666, 33.33333333333333]
researcher denounces mismanagement	implausible	m-a-a	[2, 4, 1, 4, 5, 5, 4, 5]	unsure	[12.5, 12.5, 37.5, 37.5]	1	[75.0, 25.0]
researcher desensitizes library	implausible	m-a-c	[5, 4, 2, 1, 5, 5, 1, 4, 4, 4]	unsure	[20.0, 10.0, 40.0, 30.0]	1	[70.0, 30.0]
researcher disembarks seed	implausible	m-m-c	[4, 5, 5, 5, 4, 1, 1, 4, 4, 1]	unsure	[30.0, 0.0, 40.0, 30.0]	1	[70.0, 30.0]
resentment perceives man	implausible	a-a-c	[4, 4, 2, 4, 2, 5, 1, 4, 5, 4]	unsure	[10.0, 20.0, 50.0, 20.0]	1	[70.0, 30.0]
resin comprises cricket	implausible	m-a-c	[5, 1, 4, 1, 1, 4, 2, 1]	unsure	[50.0, 12.5, 25.0, 12.5]	unsure	[37.5, 62.5]
resin reinvigorates attitude	implausible	m-a-a	[4, 2, 2, 4, 4, 4, 1, 4, 5]	unsure	[11.11111111111111, 22.22222222222222, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
resistance imparts width	implausible	a-a-m	[4, 4, 2, 4, 2, 1, 2, 4]	unsure	[12.5, 37.5, 50.0, 0.0]	unsure	[50.0, 50.0]
resistance necessitates honey	implausible	a-a-c	[1, 4, 1, 2, 5, 1, 5, 4]	unsure	[37.5, 12.5, 25.0, 25.0]	unsure	[50.0, 50.0]
restructuring maximizes palace	implausible	a-a-c	[4, 5, 4, 5, 4, 4, 4, 5, 2, 2]	unsure	[0.0, 20.0, 50.0, 30.0]	1	[80.0, 20.0]
retailer oppresses divergence	implausible	m-a-a	[1, 4, 2, 4, 4, 2, 5, 4, 2]	unsure	[11.11111111111111, 33.33333333333333, 44.44444444444444, 11.11111111111111]	unsure	[55.55555555555556, 44.44444444444444]
retardation inaugurates distance	implausible	a-m-m	[1, 4, 2, 1, 4, 2, 4, 1, 4]	unsure	[33.33333333333333, 22.22222222222222, 44.44444444444444, 0.0]	unsure	[44.44444444444444, 55.55555555555556]
revelation subverts tool	implausible	a-a-c	[4, 5, 4, 2, 4, 4, 5, 1]	unsure	[12.5, 12.5, 50.0, 25.0]	1	[75.0, 25.0]
reviewer binds iceberg	implausible	m-c-c	[1, 4, 1, 5, 5, 4, 4, 2, 4]	unsure	[22.22222222222222, 11.11111111111111, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
reviewer perpetuates sandwich	implausible	m-a-c	[4, 4, 4, 1, 4, 1, 2, 4, 5, 1]	unsure	[30.0, 10.0, 50.0, 10.0]	unsure	[60.0, 40.0]
rich unfold interest	implausible	m-c-a	[4, 1, 2, 1, 4, 2, 5, 1, 4]	unsure	[33.33333333333333, 22.22222222222222, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
ring bequeaths initiative	implausible	c-a-a	[1, 1, 4, 4, 4, 1, 1, 4]	unsure	[50.0, 0.0, 50.0, 0.0]	unsure	[50.0, 50.0]
river finds galaxy	implausible	c-m-m	[1, 5, 4, 1, 5, 1, 5, 1, 2, 4]	unsure	[40.0, 10.0, 20.0, 30.0]	unsure	[50.0, 50.0]
river stabilizes pun	implausible	c-m-a	[1, 4, 1, 5, 1, 4, 1, 1]	unsure	[62.5, 0.0, 25.0, 12.5]	unsure	[37.5, 62.5]
riverbed tilts partition	implausible	c-c-m	[4, 4, 4, 4, 5, 4, 5, 4]	unsure	[0.0, 0.0, 75.0, 25.0]	1	[100.0, 0.0]
road diversifies generalization	implausible	c-a-a	[5, 5, 5, 4, 5, 4, 1, 5, 1]	unsure	[22.22222222222222, 0.0, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
road mends rhetoric	implausible	c-c-a	[4, 2, 4, 1, 1, 1, 4, 5, 2, 1]	unsure	[40.0, 20.0, 30.0, 10.0]	unsure	[40.0, 60.0]
road pinpoints prayer	implausible	c-m-m	[4, 5, 1, 1, 4, 1, 4, 5, 2]	unsure	[33.33333333333333, 11.11111111111111, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
road relocates humility	implausible	c-m-a	[4, 4, 2, 4, 1, 1, 5, 2, 1, 5]	unsure	[30.0, 20.0, 30.0, 20.0]	unsure	[50.0, 50.0]
robot declines responsibility	implausible	c-m-a	[5, 4, 4, 4, 1, 5, 4, 4]	unsure	[12.5, 0.0, 62.5, 25.0]	1	[87.5, 12.5]
